Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
5,Joint,2,0.0512,0.0472,0.7931,0.7462,0.8444,0.7903,0.9045
5,Joint,3,0.0485,0.0458,0.8143,0.8274,0.8,0.8232,0.9026
5,Joint,4,0.0503,0.0454,0.8249,0.8731,0.7722,0.839,0.902
5,Joint,5,0.046,0.0451,0.8276,0.8528,0.8,0.8379,0.9076
5,Joint,6,0.0585,0.0467,0.8037,0.7817,0.8278,0.8063,0.9063
5,Joint,7,0.0563,0.0515,0.8011,0.8071,0.7944,0.8092,0.889
5,Joint,8,0.0471,0.0475,0.7958,0.7817,0.8111,0.8,0.9006
5,Joint,9,0.0481,0.0452,0.8117,0.8223,0.8,0.8203,0.9066
5,Joint,10,0.0585,0.0462,0.817,0.8325,0.8,0.8262,0.9046
5,Joint,11,0.0657,0.0514,0.8064,0.8071,0.8056,0.8133,0.896
5,Joint,12,0.0536,0.049,0.7905,0.7614,0.8222,0.7916,0.9038
5,Joint,13,0.0508,0.0466,0.817,0.8274,0.8056,0.8253,0.9034
5,Joint,14,0.0535,0.0462,0.8302,0.8579,0.8,0.8408,0.9044
5,Joint,15,0.0522,0.0473,0.817,0.8274,0.8056,0.8253,0.9003
5,Joint,16,0.0539,0.0482,0.8037,0.8071,0.8,0.8112,0.8991
5,Joint,17,0.0539,0.0473,0.8117,0.8426,0.7778,0.8238,0.9016
5,Joint,18,0.0534,0.0475,0.817,0.8376,0.7944,0.8271,0.9004
5,Joint,19,0.0412,0.0467,0.8196,0.8528,0.7833,0.8317,0.9035
5,Joint,20,0.0473,0.0465,0.7931,0.7868,0.8,0.799,0.9038
5,Joint,21,0.0496,0.0478,0.8037,0.797,0.8111,0.8093,0.9012
5,Joint,22,0.0492,0.0467,0.8223,0.8477,0.7944,0.8329,0.9055
5,Joint,23,0.0514,0.0471,0.8249,0.8325,0.8167,0.8325,0.9046
5,Joint,24,0.0529,0.0483,0.8064,0.7868,0.8278,0.8094,0.8988
5,Joint,25,0.0546,0.0477,0.8302,0.8579,0.8,0.8408,0.899
5,Joint,26,0.0404,0.0474,0.8143,0.7919,0.8389,0.8168,0.9009
5,Joint,27,0.0377,0.0464,0.8196,0.8325,0.8056,0.8283,0.9022
5,Joint,28,0.0346,0.0466,0.809,0.8122,0.8056,0.8163,0.9033
5,Joint,29,0.0359,0.0481,0.8117,0.8477,0.7722,0.8247,0.8994
5,Joint,30,0.0367,0.0491,0.7905,0.7614,0.8222,0.7916,0.9
