Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
4,Joint,14,0.5218,0.6698,0.599,0.6458,0.5545,0.6108,0.6363
4,Joint,15,0.52,0.671,0.5888,0.6354,0.5446,0.601,0.633
4,Joint,16,0.5094,0.6735,0.5888,0.6354,0.5446,0.601,0.6327
4,Joint,17,0.4997,0.6718,0.599,0.625,0.5743,0.603,0.6285
4,Joint,18,0.4868,0.6664,0.5939,0.6354,0.5545,0.604,0.6282
4,Joint,19,0.4911,0.6729,0.5736,0.6042,0.5446,0.58,0.631
4,Joint,20,0.4653,0.6715,0.5888,0.625,0.5545,0.597,0.6272
4,Joint,21,0.4668,0.6708,0.5685,0.6146,0.5248,0.5813,0.6245
4,Joint,22,0.4578,0.6768,0.5736,0.5938,0.5545,0.5758,0.6249
4,Joint,23,0.4736,0.6834,0.5685,0.5938,0.5446,0.5729,0.6307
4,Joint,24,0.4568,0.681,0.5787,0.6146,0.5446,0.5871,0.6271
4,Joint,25,0.4608,0.6841,0.5888,0.6146,0.5644,0.593,0.6218
4,Joint,26,0.4461,0.6823,0.5635,0.625,0.505,0.5825,0.6213
4,Joint,27,0.4592,0.6734,0.5635,0.6146,0.5149,0.5784,0.6192
4,Joint,28,0.4291,0.6801,0.5685,0.6042,0.5347,0.5771,0.6274
4,Joint,29,0.4275,0.6755,0.5736,0.6458,0.505,0.5962,0.623
4,Joint,30,0.4095,0.6821,0.5685,0.625,0.5149,0.5854,0.6188
5,Warmup,1,0.7154,0.7149,0.5178,0.7053,0.3431,0.5852,0.5
5,Warmup,2,0.6729,0.7137,0.5228,0.6211,0.4314,0.5566,0.5323
5,Warmup,3,0.6455,0.7165,0.5381,0.5789,0.5,0.5473,0.5422
5,Warmup,4,0.6331,0.7177,0.5482,0.5789,0.5196,0.5528,0.5496
5,Warmup,5,0.6307,0.7122,0.5533,0.5789,0.5294,0.5556,0.5671
5,Joint,1,0.6214,0.7093,0.5939,0.6211,0.5686,0.596,0.5754
5,Joint,2,0.6176,0.713,0.5888,0.6316,0.549,0.597,0.5756
5,Joint,3,0.5979,0.7171,0.5787,0.6,0.5588,0.5787,0.5697
5,Joint,4,0.5969,0.7152,0.5787,0.6105,0.549,0.5829,0.5723
5,Joint,5,0.5779,0.7186,0.5787,0.6211,0.5392,0.5871,0.569
5,Joint,6,0.586,0.7174,0.5838,0.6211,0.549,0.59,0.5766
5,Joint,7,0.5719,0.7212,0.5787,0.6211,0.5392,0.5871,0.5761
5,Joint,8,0.569,0.7275,0.5685,0.6105,0.5294,0.5771,0.5748
5,Joint,9,0.5594,0.7341,0.5838,0.6211,0.549,0.59,0.5734
5,Joint,10,0.5382,0.738,0.5736,0.6211,0.5294,0.5842,0.5805
5,Joint,11,0.5573,0.7456,0.5736,0.6211,0.5294,0.5842,0.578
5,Joint,12,0.5394,0.7527,0.5787,0.6316,0.5294,0.5911,0.5748
5,Joint,13,0.521,0.7557,0.5736,0.6105,0.5392,0.58,0.5774
5,Joint,14,0.515,0.7705,0.5685,0.5895,0.549,0.5685,0.5755
5,Joint,15,0.5061,0.776,0.5635,0.6,0.5294,0.57,0.5727
5,Joint,16,0.4908,0.7749,0.5685,0.5895,0.549,0.5685,0.5768
5,Joint,17,0.4913,0.7825,0.5736,0.6,0.549,0.5758,0.5717
5,Joint,18,0.4837,0.7915,0.5685,0.5895,0.549,0.5685,0.5682
5,Joint,19,0.4851,0.7943,0.5787,0.6,0.5588,0.5787,0.574
5,Joint,20,0.4857,0.7988,0.5787,0.6105,0.549,0.5829,0.573
5,Joint,21,0.4532,0.806,0.5736,0.6,0.549,0.5758,0.5734
5,Joint,22,0.4447,0.8149,0.5838,0.6211,0.549,0.59,0.5711
5,Joint,23,0.4346,0.8361,0.5838,0.6105,0.5588,0.5859,0.5712
5,Joint,24,0.4547,0.8569,0.5736,0.5789,0.5686,0.567,0.5654
5,Joint,25,0.423,0.8624,0.5888,0.6,0.5784,0.5846,0.5688
5,Joint,26,0.4494,0.8637,0.6091,0.6421,0.5784,0.6131,0.5721
5,Joint,27,0.4378,0.865,0.599,0.6211,0.5784,0.599,0.5712
5,Joint,28,0.4074,0.8709,0.6041,0.6211,0.5882,0.602,0.5734
5,Joint,29,0.4224,0.8747,0.5939,0.5895,0.598,0.5833,0.5752
5,Joint,30,0.3957,0.879,0.5939,0.5895,0.598,0.5833,0.5746
