fpr,tpr,threshold
0.36699029126213595,0.7070063694267515,0.4862556457519531
0.36893203883495146,0.7070063694267515,0.4855242967605591
0.36893203883495146,0.7112526539278131,0.48532634973526
0.37281553398058254,0.7112526539278131,0.4848031997680664
0.37281553398058254,0.7154989384288747,0.4844868183135986
0.3786407766990291,0.7154989384288747,0.4840884506702423
0.3786407766990291,0.7239915074309978,0.4829174280166626
0.3941747572815534,0.7239915074309978,0.4808685779571533
0.3941747572815534,0.7261146496815286,0.4805340468883514
0.39805825242718446,0.7261146496815286,0.4803918898105621
0.39805825242718446,0.7303609341825902,0.4800962209701538
0.4058252427184466,0.7303609341825902,0.4793941676616668
0.4058252427184466,0.7346072186836518,0.4792127609252929
0.4077669902912621,0.7346072186836518,0.4791536331176758
0.4077669902912621,0.7388535031847133,0.4784719347953796
0.4097087378640777,0.7388535031847133,0.4780736267566681
0.4097087378640777,0.7409766454352441,0.4777964949607849
0.4116504854368932,0.7409766454352441,0.4776107966899872
0.4116504854368932,0.7452229299363057,0.4767670333385467
0.41359223300970877,0.7452229299363057,0.4765462875366211
0.41359223300970877,0.7473460721868365,0.4765171408653259
0.42524271844660194,0.7473460721868365,0.4747430980205536
0.42524271844660194,0.7494692144373672,0.4745441377162933
0.42718446601941745,0.7494692144373672,0.4745437204837799
0.42718446601941745,0.7515923566878981,0.4743310809135437
0.4330097087378641,0.7515923566878981,0.4734174013137817
0.4330097087378641,0.7622080679405521,0.4727914929389953
0.4388349514563107,0.7622080679405521,0.4716018140316009
0.4388349514563107,0.7643312101910829,0.4709247052669525
0.4446601941747573,0.7643312101910829,0.4699766635894775
0.4446601941747573,0.7707006369426752,0.4695854187011719
0.45048543689320386,0.7707006369426752,0.4689769148826599
0.45048543689320386,0.772823779193206,0.4688669741153717
0.4524271844660194,0.772823779193206,0.4682771265506744
0.4524271844660194,0.7770700636942676,0.4676379859447479
0.4563106796116505,0.7770700636942676,0.4672814607620239
0.4563106796116505,0.7791932059447984,0.4669938087463379
0.4621359223300971,0.7791932059447984,0.4662967622280121
0.4621359223300971,0.7834394904458599,0.4658985733985901
0.46990291262135925,0.7834394904458599,0.465542584657669
0.46990291262135925,0.7855626326963907,0.4650621116161346
0.47572815533980584,0.7855626326963907,0.4642257690429687
0.47572815533980584,0.7876857749469215,0.4641522169113159
0.47766990291262135,0.7876857749469215,0.4640330076217651
0.47766990291262135,0.7919320594479831,0.4638203382492065
0.48349514563106794,0.7919320594479831,0.4628234207630157
0.48349514563106794,0.7961783439490446,0.4626822471618652
0.4854368932038835,0.7961783439490446,0.462648332118988
0.4854368932038835,0.802547770700637,0.4622536599636078
0.4912621359223301,0.802547770700637,0.4606682360172272
0.4912621359223301,0.8089171974522293,0.4602448046207428
0.49514563106796117,0.8089171974522293,0.4600875079631805
0.49514563106796117,0.821656050955414,0.4584949910640716
0.4970873786407767,0.821656050955414,0.458162248134613
0.4970873786407767,0.8237791932059448,0.4580363631248474
0.49902912621359224,0.8237791932059448,0.4577823877334595
0.49902912621359224,0.8259023354564756,0.4577767550945282
0.5029126213592233,0.8259023354564756,0.457293689250946
0.5029126213592233,0.8301486199575372,0.4567552506923675
0.5067961165048543,0.8301486199575372,0.4562828242778778
0.5067961165048543,0.832271762208068,0.456041157245636
0.5106796116504855,0.832271762208068,0.4559093415737152
0.5106796116504855,0.8343949044585988,0.4558596014976501
0.5184466019417475,0.8343949044585988,0.4553428292274475
0.5184466019417475,0.8365180467091295,0.4553244411945343
0.5242718446601942,0.8365180467091295,0.454821914434433
0.5242718446601942,0.8386411889596603,0.4541962146759033
0.5281553398058253,0.8386411889596603,0.4541319906711578
0.5281553398058253,0.8428874734607219,0.4538742899894714
0.5320388349514563,0.8428874734607219,0.4523220956325531
0.5320388349514563,0.8450106157112527,0.4511117935180664
0.5339805825242718,0.8450106157112527,0.4507692158222198
0.5339805825242718,0.8471337579617835,0.4506573379039764
0.5359223300970873,0.8471337579617835,0.4506392478942871
0.5359223300970873,0.8492569002123143,0.4503293931484222
0.5398058252427185,0.8492569002123143,0.4495345652103424
0.5398058252427185,0.8535031847133758,0.4491621553897857
0.545631067961165,0.8535031847133758,0.4485616981983185
0.545631067961165,0.8556263269639066,0.448341965675354
0.5475728155339806,0.8556263269639066,0.4483028054237366
0.5475728155339806,0.8577494692144374,0.4481610655784607
0.5533980582524272,0.8577494692144374,0.4457117915153503
0.5533980582524272,0.8598726114649682,0.4454627931118011
0.5553398058252427,0.861995753715499,0.4451846778392792
0.574757281553398,0.861995753715499,0.442442923784256
0.574757281553398,0.8641188959660298,0.442144900560379
0.5786407766990291,0.8641188959660298,0.4417142570018768
0.5786407766990291,0.8662420382165605,0.4415346980094909
0.5805825242718446,0.8662420382165605,0.4412077963352203
0.5805825242718446,0.8704883227176221,0.4403427243232727
0.5883495145631068,0.8704883227176221,0.4394944608211517
0.5883495145631068,0.8726114649681529,0.4389164447784424
0.5980582524271845,0.8726114649681529,0.4360293447971344
0.5980582524271845,0.8747346072186837,0.4358875155448913
0.6,0.8747346072186837,0.43541419506073
0.6,0.8768577494692145,0.4352148473262787
0.6058252427184466,0.8768577494692145,0.4341778457164764
0.6058252427184466,0.8832271762208068,0.4318655431270599
0.6097087378640776,0.8832271762208068,0.4310048520565033
