Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
5,Warmup,4,0.6485,0.6545,0.6101,0.7411,0.4667,0.6651,0.6347
5,Warmup,5,0.6438,0.6506,0.6127,0.6599,0.5611,0.6404,0.6605
5,Joint,1,0.6047,0.5962,0.7321,0.8883,0.5611,0.7761,0.8075
5,Joint,2,0.5131,0.4873,0.7427,0.7056,0.7833,0.7413,0.8272
5,Joint,3,0.4443,0.4494,0.7878,0.9036,0.6611,0.8165,0.8505
5,Joint,4,0.4284,0.4285,0.7798,0.8883,0.6611,0.8083,0.8446
5,Joint,5,0.3936,0.4087,0.7798,0.9188,0.6278,0.8135,0.8591
5,Joint,6,0.3673,0.4189,0.7825,0.8985,0.6556,0.8119,0.8533
5,Joint,7,0.3409,0.4001,0.7958,0.8629,0.7222,0.8153,0.864
5,Joint,8,0.3166,0.412,0.7825,0.8528,0.7056,0.8038,0.854
5,Joint,9,0.2943,0.4143,0.7454,0.7208,0.7722,0.7474,0.86
5,Joint,10,0.2864,0.453,0.7507,0.797,0.7,0.7696,0.8369
5,Joint,11,0.2685,0.4239,0.7666,0.7868,0.7444,0.7789,0.8534
5,Joint,12,0.2585,0.4555,0.7268,0.6751,0.7833,0.7209,0.8567
5,Joint,13,0.2277,0.4994,0.7347,0.736,0.7333,0.7436,0.8411
5,Joint,14,0.2096,0.5544,0.7268,0.7716,0.6778,0.7469,0.8431
5,Joint,15,0.1942,0.5825,0.7056,0.5888,0.8333,0.6764,0.851
5,Joint,16,0.1574,0.631,0.7215,0.6447,0.8056,0.7075,0.8504
5,Joint,17,0.1641,0.6695,0.6897,0.5228,0.8722,0.6378,0.8506
5,Joint,18,0.1667,0.7523,0.748,0.7868,0.7056,0.7654,0.8433
5,Joint,19,0.1499,0.6805,0.7745,0.868,0.6722,0.8009,0.8448
5,Joint,20,0.1123,0.6993,0.7666,0.8325,0.6944,0.7885,0.8481
5,Joint,21,0.0967,0.7129,0.7613,0.802,0.7167,0.7783,0.8516
5,Joint,22,0.0884,0.783,0.7586,0.7563,0.7611,0.7661,0.8529
5,Joint,23,0.0796,0.8857,0.7613,0.8173,0.7,0.7816,0.8398
5,Joint,24,0.104,0.9531,0.7533,0.8122,0.6889,0.7748,0.8376
5,Joint,25,0.09,0.7734,0.748,0.731,0.7667,0.752,0.8465
5,Joint,26,0.0788,0.825,0.7666,0.7766,0.7556,0.7766,0.8567
5,Joint,27,0.0617,0.9151,0.7851,0.8223,0.7444,0.8,0.8572
5,Joint,28,0.0468,0.932,0.7719,0.8071,0.7333,0.7871,0.8582
5,Joint,29,0.0566,0.9596,0.7745,0.797,0.75,0.787,0.8588
5,Joint,30,0.0487,0.9878,0.7719,0.8173,0.7222,0.7892,0.8446
