Fold,Phase,Epoch,Train_Loss,Val_Loss,Val_Acc,Val_Sens,Val_Spec,Val_F1,Val_AUC
3,Joint,23,0.0809,1.5365,0.5939,0.5312,0.6535,0.5604,0.6164
3,Joint,24,0.0821,1.5353,0.5838,0.6146,0.5545,0.59,0.6359
3,Joint,25,0.0696,1.6662,0.5787,0.3854,0.7624,0.4713,0.6233
3,Joint,26,0.0683,1.668,0.5888,0.4792,0.6931,0.5318,0.6223
3,Joint,27,0.0706,1.7239,0.6091,0.7292,0.495,0.6452,0.6425
3,Joint,28,0.0597,1.6771,0.5685,0.4792,0.6535,0.5198,0.6257
3,Joint,29,0.0658,1.7219,0.5482,0.4375,0.6535,0.4855,0.6115
3,Joint,30,0.068,1.7423,0.6091,0.6354,0.5842,0.6131,0.6352
4,Warmup,1,0.7188,0.713,0.4873,1.0,0.0,0.6553,0.5843
4,Warmup,2,0.6855,0.7119,0.4873,1.0,0.0,0.6553,0.6083
4,Warmup,3,0.6795,0.7098,0.5178,1.0,0.0594,0.669,0.6162
4,Warmup,4,0.6727,0.707,0.5431,0.9688,0.1386,0.6739,0.6301
4,Warmup,5,0.6619,0.7028,0.5736,0.875,0.2871,0.6667,0.6322
4,Joint,1,0.6694,0.6942,0.5939,0.8854,0.3168,0.68,0.6558
4,Joint,2,0.6426,0.6796,0.6345,0.8646,0.4158,0.6975,0.6761
4,Joint,3,0.588,0.6651,0.6193,0.7812,0.4653,0.6667,0.716
4,Joint,4,0.5529,0.6603,0.6345,0.7708,0.505,0.6727,0.7004
4,Joint,5,0.5357,0.6606,0.6497,0.7708,0.5347,0.682,0.6919
4,Joint,6,0.4839,0.6784,0.6142,0.7708,0.4653,0.6607,0.679
4,Joint,7,0.4566,0.7105,0.6193,0.7812,0.4653,0.6667,0.6778
4,Joint,8,0.4077,0.7311,0.599,0.8229,0.3861,0.6667,0.6419
4,Joint,9,0.3954,0.7973,0.5939,0.8333,0.3663,0.6667,0.6703
4,Joint,10,0.3432,0.7873,0.6142,0.6979,0.5347,0.6381,0.6764
4,Joint,11,0.2948,0.8753,0.6091,0.7708,0.4554,0.6578,0.6527
4,Joint,12,0.29,0.9683,0.6091,0.8229,0.4059,0.6723,0.6561
4,Joint,13,0.2509,1.0133,0.6193,0.7604,0.4851,0.6606,0.6698
4,Joint,14,0.1998,1.0243,0.6193,0.6667,0.5743,0.6305,0.6831
4,Joint,15,0.2101,1.1998,0.5736,0.5312,0.6139,0.5484,0.5954
4,Joint,16,0.2057,1.1738,0.6041,0.6354,0.5743,0.61,0.6558
4,Joint,17,0.1937,1.1658,0.6193,0.5833,0.6535,0.5989,0.6473
4,Joint,18,0.1629,1.2101,0.6244,0.6042,0.6436,0.6105,0.6415
4,Joint,19,0.1535,1.1801,0.6294,0.6354,0.6238,0.6256,0.6518
4,Joint,20,0.1563,1.3048,0.6091,0.5625,0.6535,0.5838,0.65
4,Joint,21,0.1336,1.4389,0.6041,0.5625,0.6436,0.5806,0.6409
4,Joint,22,0.117,1.5222,0.5635,0.4688,0.6535,0.5114,0.6284
4,Joint,23,0.0949,1.4242,0.5736,0.5521,0.5941,0.5579,0.6043
4,Joint,24,0.089,1.6134,0.5787,0.5417,0.6139,0.5561,0.6121
4,Joint,25,0.0699,1.7853,0.5939,0.4792,0.703,0.5349,0.6111
4,Joint,26,0.0813,1.5792,0.5635,0.5104,0.6139,0.5326,0.6123
4,Joint,27,0.0785,1.5872,0.599,0.6875,0.5149,0.6256,0.6175
4,Joint,28,0.0539,1.688,0.5939,0.6146,0.5743,0.596,0.638
4,Joint,29,0.0703,1.6588,0.5939,0.6354,0.5545,0.604,0.6468
4,Joint,30,0.0595,1.6179,0.6041,0.6042,0.604,0.5979,0.6339
5,Warmup,1,0.7363,0.7113,0.5178,0.0,1.0,0.0,0.5508
5,Warmup,2,0.6966,0.7101,0.5533,0.2,0.8824,0.3016,0.6019
5,Warmup,3,0.6753,0.7084,0.5787,0.3368,0.8039,0.4354,0.6122
5,Warmup,4,0.668,0.7048,0.5533,0.4,0.6961,0.4634,0.6196
5,Warmup,5,0.6566,0.7031,0.5888,0.5263,0.6471,0.5525,0.6226
5,Joint,1,0.6851,0.7025,0.599,0.6421,0.5588,0.607,0.6042
5,Joint,2,0.6159,0.6938,0.5685,0.6526,0.4902,0.5933,0.6181
5,Joint,3,0.5892,0.6852,0.5939,0.6211,0.5686,0.596,0.6364
5,Joint,4,0.538,0.6931,0.5635,0.5158,0.6078,0.5326,0.6109
5,Joint,5,0.5289,0.7025,0.5584,0.5789,0.5392,0.5584,0.6011
5,Joint,6,0.4821,0.7116,0.5736,0.6316,0.5196,0.5882,0.6347
5,Joint,7,0.4201,0.7335,0.5685,0.4526,0.6765,0.5029,0.6255
5,Joint,8,0.3999,0.7541,0.5787,0.5684,0.5882,0.5654,0.6329
5,Joint,9,0.3578,0.8083,0.5685,0.5263,0.6078,0.5405,0.6161
5,Joint,10,0.3217,0.816,0.5838,0.5158,0.6471,0.5444,0.649
